iso2c,iso3c,year,electricity_access,alternative_energy,electricity_consumption,energy_imports,energy_intensity,energy_use,fossil_fuel_consumption,fuel_exports,energy_unit_use_gdp,energy_investment_private,ores_metal_exports,renewable_electricity_output,renewable_energy_consumption,time_electricity,resources_rents,electricity_access_ru,electricity_access_ur
XN,"",2006,69.7120422866445,3.14991628871672,588.389017086982,-25.1814062854052,,621.72096239469,67.5027755801107,28.3933339245243,7.48774472176451,12515250000,5.27023131212182,19.2671116156406,38.3309946447207,,11.0063810095724,57.3071493710659,91.6055905186263
XN,"",2007,70.9832037690919,3.1117116344244,615.481965978287,-24.2195610028401,,635.706317825364,68.015401124307,26.5404125769711,7.70996759905759,16940540000,5.71244917957121,18.8424614138036,37.2478260065301,,10.533483636752,59.1041817639907,92.1397381831407
XN,"",2008,72.5724052990462,2.90885998132657,629.18674730273,-22.0219363671632,,648.129318360604,68.6050342213702,24.757862299666,7.75612237949547,21041570000,5.01523766919492,17.9645809246556,36.8390911627501,,13.3711316701869,60.952586157449,92.3529394584379
XN,"",2009,73.7808017933631,2.81094909654268,649.32875803291,-19.9737197130319,,660.948963334003,69.0989273893291,24.0902381938882,7.81282789915968,32428150000,4.71780943307064,17.615052885728,36.3346117819683,116.5,7.63411552399973,63.4517884809325,93.5074442366523
XN,"",2010,74.3371747969463,3.01223090790369,693.122777806343,-19.2739590179315,,680.065739826592,69.5700055833085,27.4928314195578,7.96694740882885,47521050000,5.46263540383705,17.8889771370112,35.4133248270176,110.8125,8.97415537520998,63.5844281932061,92.8369055832327
XN,"",2011,71.8659548995431,3.18141561015386,732.681192940361,-20.1445255562502,,686.380249360904,69.2727518822902,29.064570168726,8.1478515088324,29312297000,4.7120684215918,18.265682794802,34.4454475656684,109.791666666667,11.2913379820189,59.125734516749,93.3211072692035
XN,"",2012,77.5606284166019,3.11416828804272,757.440528268795,-15.1064085657576,,703.392813789966,69.6053071125136,25.4779969823091,8.17967038243814,27109950000,4.28671232867705,17.6839201344601,34.3096601015883,101.632653061224,9.47730926314999,67.5567755662842,94.1900903202617
XN,"",2013,78.7468548236515,3.21323143978492,786.532613974736,-14.4670804301251,,701.178334606831,69.4292339659723,28.6274329797462,8.48341294258788,10292360000,4.02765255321598,18.6729025357773,34.3190604924026,114.853888888889,8.45643968205502,69.2376875271823,94.2793339152731
XN,"",2014,79.6298401401202,3.08826024852845,815.427284285379,-11.6187665879293,,712.978708920765,69.9633240422911,28.0886406317399,8.627442929616,15098435000,3.87784581692662,17.890267636081,33.5437171719106,103.715740740741,7.27094286229008,70.4115787379032,94.3469986549269
XN,"",2015,82.3722521315214,,,,,,,22.3130263775485,,12083560000,3.83981584859363,17.2470576925425,33.2534311439495,97.0481481481482,4.0700451743389,74.1226014928237,94.7972784793006
XN,"",2016,83.9196953265731,,,,,,,22.2199301500284,,15909410000,3.79873490312732,,,93.5833333333333,3.48714841085685,76.5445035462293,95.7991285715257
XN,"",2017,85.8600383830671,,,,,,,23.9737531083671,,26755610000,4.24173529757627,,,91.4111111111111,4.43010253170868,82.2083943994728,97.0909733139767
XN,"",2018,88.0468832451158,,,,,,,22.9435263874748,,13881340000,4.38963322401283,,,87.0435185185185,5.65270682351402,85.3215035972985,97.1564087346065
XN,"",2019,89.0598996805966,,,,,,,18.2625911257029,,13040370000,4.22295593824541,,,82.8703703703704,4.36072613208951,87.3067468305191,97.7768715995074
XN,"",2020,90.1148576430344,,,,,,,13.0124770022742,,15273790000,4.91803818448091,,,,3.41188806977024,85.7056644184804,96.9212730339007
LU,LUX,2000,100,6.09517281283476,15668.1182672473,98.1000798948111,3.35,7676.83703873481,83.4434126190809,0.0947141236673684,12.9352136170285,,5.01022808487638,40.9952606635071,6.81,,0.0190559364546665,100,100
LU,LUX,2001,100,2.79101380344252,15616.3297661514,97.9563517057687,3.44,7982.8503482249,84.9834081781113,0.174150039664466,12.6700543746993,,4.68513413142653,19.3771626297578,3.42,,0.0188038362068282,100,100
LU,LUX,2002,100,0.772877781128645,15980.2767972208,98.0136824645482,3.44,8204.72684484788,89.8491672731008,0.564341586554429,12.5924156954678,,4.63525235552184,5.34188034188034,1.32,,0.0173349155390388,100,100
LU,LUX,2003,100,0.73854579857309,16258.8844850874,98.0779869118816,3.57,8549.50291167549,89.7010316967833,0.479403294690643,12.2513555665812,,4.48418168653265,5.01972032986734,1.28,,0.0150997203485572,100,100
LU,LUX,2004,100,0.781665627213489,16300.1124220959,97.9940181446203,3.84,9387.43710365754,91.2583382980594,0.56940493730028,11.4658384401938,,4.96726016697274,5.76581904198699,1.35,,0.00967496018758577,100,100
LU,LUX,2005,100,0.81051240034228,15644.1467200392,97.567515989354,3.8,9428.81128562768,91.1689927259868,0.484746205652523,11.5213208457564,,5.73763427230509,6.30227001194743,1.87,,0.00984368260224786,100,100
LU,LUX,2006,100,0.975340058089676,16456.6041169016,97.3630083336929,3.57,9170.532565161,90.3341298418926,0.755468291334598,12.3598095286324,,6.98490411811247,6.97081326154718,2.08,,0.0209159928003229,100,100
LU,LUX,2007,100,1.1995687903977,16352.321804693,97.2042610917154,3.2,8773.89670266025,88.0854839793523,0.772267080770856,13.7507685635713,,6.76715018214194,8.27866291783818,3.64,,0.0330040793131839,100,100
LU,LUX,2008,100,1.47958828695589,15937.7877826665,97.059477688263,3.24,8612.2337051059,87.1163833581093,0.866779918350193,13.7193986171571,,6.14523127870348,10.3815113719736,3.96,,0.176779825957433,100,100
LU,LUX,2009,100,1.26421433503283,14425.9647276022,97.1960468219026,3.19,7951.72394396755,88.7050358076445,1.24434505311501,14.1139307904784,,4.87700606297509,8.47081218274112,3.73,120,0.167033714109055,100,100
LU,LUX,2010,100,1.22790967481589,16829.9625409062,97.1974971191104,3.24,8329.47827510637,87.9574315110828,0.950253839201478,13.7276290678441,,5.54609346818979,8.26625386996904,3.68,120,0.0729908898485578,100,100
LU,LUX,2011,100,1.3344215403544,15586.084225432,97.294404974314,3.12,8056.404300594,87.0086371857559,0.823809485060464,14.0259086138795,,5.41454927226148,9.28301886792453,3.76,120,0.111764117819465,100,100
LU,LUX,2012,100,1.55550139924577,14703.9435272137,96.9960239664435,3.08,7722.19020390021,87.215620431476,0.906015716616703,14.5214158846659,,5.29168706624439,11.1715632934349,4.15,120,0.124308373302058,100,100
LU,LUX,2013,100,2.50730725785098,14193.1684334511,96.6269935154432,2.88,7312.15400471142,84.5060018141859,0.9124571972713,15.4606512911919,,4.94103541308824,20.0108166576528,5.72,120,0.065498032556138,100,100
LU,LUX,2014,100,2.49909003595528,13914.6784488756,96.0021367767681,2.66,6861.10666721791,83.331752670447,0.792755481602913,16.5153501313937,,4.72256737546925,20.9448818897638,6.85,56,0.0511928684074621,100,100
LU,LUX,2015,100,3.71309534214227,,96.3107486920905,2.48,6548.40555894973,80.562295207665,0.482115060084286,17.2840132677302,,4.80090229210457,32.381667918858,9.09,56,0.0121696200757293,100,100
LU,LUX,2016,100,,,,2.35,,,0.0630612554097925,,,4.25377629362931,,13.5,56,0.0100731519370977,100,100
LU,LUX,2017,100,,,,2.35,,,0.0944590090054424,,,5.01406240340244,,15.33,56,0.00963287473588404,100,100
LU,LUX,2018,100,,,,2.37,,,0.0980118110705392,,,4.59205275755081,,16.09,56,0.0131135879087284,100,100
LU,LUX,2019,100,,,,2.34,,,0.0974079283313646,,,4.47027456687779,,16.45,56,0.00882408584933142,100,100
LU,LUX,2020,100,,,,,,,0.0826630989449791,,,4.41434886286635,,,,0.00787737711626985,100,100
MO,MAC,2000,100,,,,1.08,,,0,,,0.0125760076872345,0,0.18,,0.00109989412789922,100,100
MO,MAC,2001,100,,,,1.12,,,0.00110190574508336,,,0.00781264449236931,0,0.8,,0.00125156334321588,100,100
